Stock Code,Stock Name
00378,FDG KINETIC
00379,EG LEASING
00380,SOFTPOWER INT
00381,KIU HUNG INT'L
00382,EDVANTAGE GROUP
00383,CHINA MED&HCARE
00384,CHINA GAS HOLD
00385,CHINNEY ALLI
00386,SINOPEC CORP
00387,LEEPORT(HOLD)
00388,HKEX
00389,TONTINE WINES
00390,CHINA RAILWAY
00391,MEI AH ENTER
00392,BEIJING ENT
00393,GLORIOUS SUN
00395,SMARTAC GP CH
00396,HING LEE (HK)
00397,POWER FINANCIAL
00398,ORIENTAL WATCH
00399,INNOVATIVE PHAR
00400,COGOBUY
00401,WANJIA GROUP
00402,PEACEMAP HOLD
00403,STARLITE HOLD
00404,HSIN CHONG GP
00405,YUEXIU REIT
00406,YAU LEE HOLD
00408,YIP'S CHEMICAL
00410,SOHO CHINA
00411,LAM SOON (HK)
00412,CHINA SDHS FIN
00413,SC HOLDINGS
00416,BANKOFJINZHOU
00417,TSE SUI LUEN
00418,FOUNDER HOLD
00419,HUAYI TENCENT
00420,FOUNTAIN SET
00422,VMEP HOLDINGS
00423,HKET HOLDINGS
00425,MINTH GROUP
00426,ONE MEDIA GROUP
00428,COCOON HOLDINGS
00430,ORIENTAL EXPL
00431,G CHINA FIN
00432,PCPD
00433,NORTH MINING
00434,BOYAA
00435,SUNLIGHT REIT
00436,NU ENVIRO
00438,IRICO NEWENERGY
00439,KUANGCHI
00440,DAH SING
00442,HIFOOD GROUP
00444,SINCEREWATCH HK
00445,CIMC-TIANDA
00449,CHIGO HOLDING
00450,HUNG HING PRINT
00451,GCL NEWENERGY
00455,TIANDA PHARMA
00456,NEW CITY DEV
00458,TRISTATE HOLD
00459,MIDLAND IC&I
00460,SIHUAN PHARM
00462,NATURAL DAIRY
00464,C OVS NUOXIN
00465,FUTONG TECH
00467,UNITEDENERGY GP
00468,GAPACK
00469,CAPXON INT'L
00471,CMMB VISION
00472,NEW SILKROAD
00474,HAO TIAN DEV
00475,CENTRAL DEV H
00476,CH DYNAMICS
00479,CIL HOLDINGS
00480,HKR INT'L
00482,SANDMARTIN INTL
00483,BAUHAUS INT'L
00484,FORGAME
00485,CHINASINOSTAR
00486,RUSAL
00487,SUCCESSUNIVERSE
00488,LAI SUN DEV
00489,DONGFENG GROUP
00491,EMPEROR CULTURE
00493,GOME RETAIL
00494,LI & FUNG
00495,PALADIN
00496,KASEN
00497,CSI PROPERTIES
00498,PYI CORP
00499,QINGDAO HLDGS
00500,FRONTIER SER
00503,LANSEN PHARMA
00505,HUAN YUE INTER
00506,CHINA FOODS
00508,DINGYI GP INV
00509,SUNSHINE
00510,CASH FIN SER GP
00511,TVB
00512,CHINAGRANDPHARM
00513,CONTINENTAL H
00515,TC ORI LIGHT
00517,COSCO SHIP INTL
00518,TUNGTEX (HOLD)
00519,APPLIED DEV
00520,XIABUXIABU
00521,CWT INT'L
00522,ASM PACIFIC
00524,GREAT WALL B&R
00525,GUANGSHEN RAIL
00526,CHINA AUTO NR
00527,RUIFENG RENEW
00528,KINGDOM HOLDING
00529,SIS INT'L
00530,GOLDIN FIN HOLD
00531,SAMSON HOLDING
00532,WKK INTL (HOLD)
00533,GOLDLION HOLD
00535,GEMDALE PPT
00536,TRADELINK
00538,AJISEN (CHINA)
00539,VICTORY CITY
00540,SPEEDY GLOBAL
00542,TFG INTL GP
00543,PACIFIC ONLINE
00544,DAIDO GROUP
00546,FUFENG GROUP
00547,DIGITAL DOMAIN
00548,SHENZHENEXPRESS
00550,KK CULTURE
00551,YUE YUEN IND
00552,CHINACOMSERVICE
00553,NANJING PANDA
00554,HANS ENERGY
00555,REXLOT HOLDINGS
00556,PAN ASIA ENVIRO
00557,TIANYUAN HEALTH
00558,LK TECH
00559,DETAI NEWENERGY
00560,CHU KONG SHIP
00563,SH IND URBAN
00564,ZMJ
00565,ART GROUP HOLD
00567,DAISHOMICROLINE
